1	factoid	Who is the author of the book, "The Iron Lady: A Biography of Margaret Thatcher"? 	Young
2	factoid	What was the monetary value of the Nobel Peace Prize in 1989? 	\$469,000
3	factoid	What does the Peugeot company manufacture? 	106s?|205s?|306s?|309s?|405|504s?|505s?|Peugeots|automobiles?|cars?|diesel\s+motors?|plastic\s+components|vehicles?
4	factoid	How much did Mercury spend on advertising in 1993? 	Pounds\s+12\s*(?:m|(?:million))
5	factoid	What is the name of the managing director of Apricot Computer? 	Horne
6	factoid	Why did David Koresh ask the FBI for a word processor? 	To\s+record\s+his\s+revelations|finish\w*\s+writing.*?revelations
7	factoid	What debts did Qintex group leave? 	1\.4\s*(?:(?:bn)|(?:billion))|1\.6\s*(?:(?:bn)|(?:billion))
8	factoid	What is the name of the rare neurological disease with symptoms such as: involuntary movements (tics), swearing, and incoherent vocalizations (grunts, shouts, etc.)? 	Tourette\s*'\s*s
9	factoid	How far is Yaroslavl from Moscow? 	150 miles?
10	factoid	Name the designer of the shoe that spawned millions of plastic imitations, known as "jellies". 	Pfister
11	factoid	Who was President Cleveland's wife? 	Folsom
12	factoid	How much did Manchester United spend on players in 1993? 	Pounds\s*4\s*(?:m|(?:million))
13	factoid	How much could you rent a Volkswagen bug for in 1966? 	\$\s*1
14	factoid	What country is the biggest producer of tungsten? 	China
15	factoid	When was London's Docklands Light Railway constructed? 	1980s|1987
16	factoid	What two US biochemists won the Nobel Prize in medicine in 1992? 	(?:Krebs.*?Fischer)|(?:Fischer.*?Krebs)
17	factoid	How long did the Charles Manson murder trial last? 	(?:(?:nine)|9).*?months?
18	factoid	Who was the first Taiwanese President? 	Lee\s+Teng\s*-?\s*Hui|Li\s+Teng\s*-?\s*Hui|Mr\.?\s+Lee|Mr\.?\s+Li|President\s+Lee|President\s+Li
19	factoid	Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco, Texas in 1993? 	Koresh
20	factoid	Where is Inoco based? 	Norwich
21	factoid	Who was the first American in space? 	Shepard
22	factoid	When did the Jurassic Period end? 	130\s+million\s+years\s+ago
23	factoid	When did Spain and Korea start ambassadorial relations? 	1950
24	factoid	When did Nixon visit China? 	17\s+years\s+ago|1972|2[23]\s+years\s+ago|April\s+1993|February\s+1976|early\s+1970s|more\s+than\s+20\s+years\s+have\s+elapsed|over\s+20\s+years\s+ago|today|two\s+decades\s+ago
25	factoid	Who was the lead actress in the movie "Sleepless in Seattle"? 	Ryan
26	factoid	What is the name of the "female" counterpart to El Nino, which results in cooling temperatures and very dry weather? 	La\s+Nina
27	factoid	Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place? 	East\s+Java|Surabaya
28	factoid	Who may be best known for breaking the color line in baseball? 	Robinson
29	factoid	What is the brightest star visible from Earth? 	Sirius
30	factoid	What are the Valdez Principles? 	10\s*-?\s*point\s+environmental\s+agenda|code\s+of\s+conduct|environmental\s+agenda\s+for\s+corporations|principles\s+of\s+the\s+Coalition\s+of\s+Environmentally\s+Responsible\s+Economies
31	factoid	Where was Ulysses S. Grant born? 	Ohio
32	factoid	Who received the Will Rogers Award in 1989? 	Sinatra
33	factoid	What is the largest city in Germany? 	Berlin
34	factoid	Where is the actress, Marion Davies, buried? 	Hollywood\s+Cemetery|Hollywood\s+Memorial\s+Park
35	factoid	What is the name of the highest mountain in Africa? 	Kilimanjaro|Uhuru\s+Peak
36	factoid	In 1990, what day of the week did Christmas fall on? 	Tuesday
37	factoid	What was the name of the US helicopter pilot shot down over North Korea? 	Hall
38	factoid	Where was George Washington born? 	Virginia|Westmoreland\s+County
39	factoid	Who was chosen to be the first black chairman of the military Joint Chiefs of Staff? 	Powell
