1894	factoid	How far is it from Earth to Mars? 	(190|249|416|440)(\s|\-)million(\s|\-)miles?|416 - million - mile|700-million-kilometer
1895	factoid	How late is Disneyland open? 	midnight
1896	factoid	What was the Hunchback of Notre Dame's real name? 	Quasimodo
1897	factoid	What is the name of the airport in Dallas Ft. Worth? 	Dallas(\s\/\s|\-)Fort Worth International Airport
1898	factoid	What city is Disneyland in? 	Anaheim|Paris|To(ky|yk)o
1899	factoid	What book did Rachel Carson write in 1962? 	Silent Spring
1900	factoid	What country is Aswan High Dam located in? 	Egypt
1903	factoid	How many time zones are there in the world? 	24
1904	factoid	How high is the pitcher's mound? 	10(\s|\-)inch(es)?
1906	factoid	How did the disciple Peter die? 	crucified
1908	factoid	What is the population of Iceland? 	27(0|3|5),?000
1909	factoid	What business was the source of John D. Rockefeller's fortune? 	oil
1910	factoid	What are pennies made of? 	copper|steel
1911	factoid	What is the name of the chart that tells you the symbol for all chemical elements? 	periodic (table|chart)
1912	factoid	In which city is the River Seine? 	Paris
1914	factoid	What city is the home to the Rock and Roll Hall of Fame? 	Cleveland
1916	factoid	What city did Duke Ellington live in? 	New York|Washington
1918	factoid	How did Jimi Hendrix die? 	chok(e|ing)
1919	factoid	How big is Mars? 	has a diameter of 4,217 miles
1920	factoid	When was "Cold Mountain" written? 	1997
1921	factoid	How did Virginia Woolf die? 	stepping into an English river to her death|suicide
1922	factoid	How fast is an eye blink? 	\.03 seconds
1925	factoid	What did Ozzy Osbourne bite the head off of? 	bat
1926	factoid	When was the U.S. capitol built? 	179(0s|2|3)
1927	factoid	How did George Washington die? 	inflammatory quinsy|severe infection of the throat|throat infection
1928	factoid	how did Patsy Cline die 	plane crash
1929	factoid	What band did the music for the 1970's film "Saturday Night Fever"? 	Bee Gees
1930	factoid	What band was Jerry Garcia with? 	Grateful Dead|Jerry Garcia Acoustic Band|Wildwood Boys
1931	factoid	When was Prince Charles born? 	1948
1932	factoid	When did International Volunteers Day begin? 	1985
1934	factoid	What is the play "West Side Story" based on? 	Romeo and Juliet
1935	factoid	What color is the top stripe on the U.S. flag? 	Red
1936	factoid	How many stories are in the Sears Tower? 	1(0|1)0
1937	factoid	How fast can a nuclear submarine travel? 	25 knots
1938	factoid	How many floors are in the Empire State Building? 	102
1939	factoid	How did Einstein die? 	ruptured abdominal.*?aneurysms?
1941	factoid	What membrane controls the amount of light entering the eye? 	iris
1943	factoid	What is the name of Ling Ling's mate? 	Ahua|Hsing-Hsing
1944	factoid	What did George Washington call his house? 	Mount Vernon
1945	factoid	When was Adolf Hitler born? 	1889
1946	factoid	What day and month did Nixon resign? 	Aug. 9.?
1947	factoid	What country did Catherine the Great rule? 	Russian?
1948	factoid	What is the word which means one hiring his relatives? 	nepotism
1949	factoid	What is the nickname of the British flag? 	Union Jacks?
1950	factoid	Who created the literary character Phineas Fogg? 	Verne
1952	factoid	How late will airlines let you fly in pregnancy? 	no regulations
1953	factoid	How many NFL teams are there? 	31
1954	factoid	What country made the Statue of Liberty? 	France
1956	factoid	What country is the largest in square miles? 	Russia
1958	factoid	How fast can a king cobra kill you? 	20 minutes?
1959	factoid	What does cc mean in letter writing? 	carbon copy
1960	factoid	How many gas stations are there in the United States? 	145,000
1961	factoid	What position did Satchel Paige play in professional baseball? 	pitcher
1962	factoid	What country is know as the "Land of the Rising Sun"? 	Japan
1965	factoid	What company manufactures Sinemet? 	Hangzhou MSD Pharmaceutical
1966	factoid	What capital city do you see from the top of Bunker Hill? 	Boston
1967	factoid	What party led Australia from 1983 to 1996? 	ALP|Labor
1968	factoid	What fruit's stone does Laetrile come from? 	apricot
1969	factoid	What does ACLU stand for? 	American Civil Liberties Union
1970	factoid	What is the national airline of Spain? 	Iberia
1971	factoid	What city is the Liberty Bell currently located in? 	Philadelphia
1973	factoid	What player on a basketball team usually plays the post or pivot position? 	center
1974	factoid	What is Richie's surname on "Happy Days"? 	Cunningham
1975	factoid	How did Cleopatra die? 	asp bite|suicide
1976	factoid	What is the motto for the Boy Scouts? 	Be Prepared
1978	factoid	How big is the sun? 	870,105 miles across
1980	factoid	How far is the moon from Earth in miles? 	221,456( miles?)|221,662|222,000 miles|250 , 000 miles|252,711 miles
1981	factoid	How long is the Great Barrier Reef? 	1 , 250-mile-long|1\s?,?2\s?(00|50)\s?\-?\s?miles?|2,?000 km
1982	factoid	What movie won the Academy Award for best picture in 1989? 	Driving Miss Daisy
1983	factoid	When was Lyndon B. Johnson president? 	1963 ?- ?69
1984	factoid	What are people born 1965 through 1980 called? 	Generation X
1985	factoid	What is the Cav's arena name? 	Gund
1986	factoid	What city is Ole Mississippi University in? 	Oxford
1989	factoid	When was chewing tobacco banned in baseball? 	1994
1991	factoid	How did Minnesota get its name? 	Sioux description of the Minnesota River
1992	factoid	How hot is the sun? 	6,000 degrees Centigrade|6500 Celsius|two million degrees centigrade
1993	factoid	How many official languages does Switzerland have? 	four|three
1994	factoid	What was the Beatles' first number one hit? 	Love Me Do
1995	factoid	What department is responsible for regulating casino gambling in Mississippi? 	Mississippi Gaming Commission
1996	factoid	What city is Duke University in? 	Durham
1997	factoid	What American revolutionary general turned over West Point to the British? 	Arnold
1998	factoid	How old was Babe Ruth when he died? 	53
1999	factoid	What is the state with the smallest population? 	Wyoming
2000	factoid	How many Earth days does it take for Mars to orbit the sun? 	687
2001	factoid	What rock band sang "A Whole Lotta Love"? 	Led Zeppelin
2003	factoid	How far is the distance for a free throw? 	15-foot
2004	factoid	What do the opposite sides of a die add up to? 	seven
2005	factoid	What is the fastest roller coaster? 	Millennium Force|Riddler's Revenge
2007	factoid	How many years are there in a French president's term? 	seven
2009	factoid	What animal has human-like fingerprints? 	koala bears
2010	factoid	What island was Napoleon exiled to after his defeat at Waterloo? 	St\.? Helena
2011	factoid	When was Leonardo da Vinci born? 	1452
2012	factoid	How did Marty Robbins die? 	heart attack
2013	factoid	How many stripes are on the American flag? 	13
2015	factoid	What building is the Academy of Country Music Awards held in? 	Universal Amphitheatre
2016	factoid	What is the area of western Germany that is known for its rich coal deposits? 	Ruhr
2017	factoid	What percent of the nation's cheese does Wisconsin produce? 	28 percent
2018	factoid	How many days are there in a Martian year? 	687
2020	factoid	In which city would you find the Louvre? 	Paris
2021	factoid	What is the world's largest coral reef? 	Great Barrier Reef
2022	factoid	What English city does the prime meridian pass through? 	Greenwich
2023	factoid	What continent is the world's largest dessert on? 	Africa
2025	factoid	What sports stadium has been billed as "the eighth wonder of the world"? 	Astrodome
2026	factoid	When was the first Olympics held? 	776 BC
2027	factoid	When was OJ Simpson arrested for murder? 	1994
2028	factoid	What are the biggest snakes in the world? 	anacondas|reticulated python
2029	factoid	How many electoral votes does Tennessee have? 	11
2030	factoid	How do you say "cat" in the French language? 	chat
2032	factoid	What sporting event first took place in 1903? 	Tour de France
2033	factoid	How many types of human blood are there? 	four
2035	factoid	How many stomachs does a cow have? 	four
2036	factoid	How many counties are in California? 	58
2037	factoid	How did Iowa get its name? 	Siouan ``ouaouia
2038	factoid	What did Alfred Noble invent? 	dynamite
2039	factoid	What college did Allen Iverson go to? 	Georgetown
2040	factoid	What are baby frogs called? 	tadpoles
2044	factoid	What museum in Philadelphia was used in "Rocky"? 	Art\s+Museum|Museum of Art
2045	factoid	When was the city of New Orleans founded? 	1718
2047	factoid	How close is Mercury to the sun? 	3(5.5|6) million miles
2048	factoid	When was MTV started? 	1981
2049	factoid	What president served 2 nonconsecutive terms? 	Grover Cleveland
2050	factoid	What dissolves gold? 	cyanide
2052	factoid	What county is San Antonio, Texas in? 	Bexar
2053	factoid	What duo lost their Grammy for best new artist when it was discovered that they lip-synched their songs? 	Milli Vanilli
2055	factoid	What dessert is made with poached peach halves, vanilla ice cream, and raspberry sauce? 	PEACH MELBA
2056	factoid	What band did former Red Hot Chili Peppers guitarist Dave Navarro start out with? 	Jane's Addiction
2057	factoid	How many children did Bob Marley have? 	seven
2058	factoid	What is the motto of the "New York Times"? 	all the news that's fit to print
2059	factoid	How did Chicago get its name? 	she.*?kag.*?ong
2061	factoid	What court case overturned Plessy v. Furgeson? 	Brown vs?. Board of Education
2062	factoid	How many legs does a beetle have? 	six
2064	factoid	What country is Mt. Everest in? 	Nepal
2065	factoid	What is a female moose called? 	cows?
2066	factoid	What is tequila made from? 	agave
2067	factoid	How many Great Lakes are there? 	five
2068	factoid	What animal is responsible for the most human deaths worldwide? 	mosquitoes
2069	factoid	When was the first Star Wars movie made? 	1977
2070	factoid	What date did the U.S. civil war start? 	April 12.*?1861
2071	factoid	How many islands are there in Indonesia? 	13,?000|17,(000|500|508)
