894	factoid	How far is it from Denver to Aspen? 
895	factoid	What county is Modesto, California in? 
896	factoid	Who was Galileo? 
897	factoid	What is an atom? 
898	factoid	When did Hawaii become a state? 
899	factoid	How tall is the Sears Building? 
900	factoid	George Bush purchased a small interest in which baseball team? 
901	factoid	What is Australia's national flower? 
902	factoid	Why does the moon turn orange? 
903	factoid	What is autism? 
904	factoid	What city had a world fair in 1900? 
905	factoid	What person's head is on a dime? 
906	factoid	What is the average weight of a Yellow Labrador? 
907	factoid	Who was the first man to fly across the Pacific Ocean? 
908	factoid	When did Idaho become a state? 
909	factoid	What is the life expectancy for crickets? 
910	factoid	What metal has the highest melting point? 
911	factoid	Who developed the vaccination against polio? 
912	factoid	What is epilepsy? 
913	factoid	What year did the Titanic sink? 
914	factoid	Who was the first American to walk in space? 
915	factoid	What is a biosphere? 
916	factoid	What river in the US is known as the Big Muddy? 
917	factoid	What is bipolar disorder?  
918	factoid	What is cholesterol? 
919	factoid	Who developed the Macintosh computer? 
920	factoid	What is caffeine? 
921	factoid	What imaginary line is halfway between the North and South Poles? 
922	factoid	Where is John Wayne airport? 
923	factoid	What hemisphere is the Philippines in? 
924	factoid	What is the average speed of the horses at the Kentucky Derby? 
925	factoid	Where are the Rocky Mountains? 
926	factoid	What are invertebrates? 
927	factoid	What is the temperature at the center of the earth? 
928	factoid	When did John F. Kennedy get elected as President? 
929	factoid	How old was Elvis Presley when he died? 
930	factoid	Where is the Orinoco River? 
931	factoid	How far is the service line from the net in tennis? 
932	factoid	How much fiber should you have per day? 
933	factoid	How many Great Lakes are there? 
934	factoid	Material called linen is made from what plant? 
935	factoid	What is Teflon? 
936	factoid	What is amitriptyline? 
937	factoid	What is a shaman? 
938	factoid	What is the proper name for a female walrus? 
939	factoid	What is a group of turkeys called? 
940	factoid	How long did Rip Van Winkle sleep? 
941	factoid	What are triglycerides? 
942	factoid	How many liters in a gallon? 
943	factoid	What is the name of the chocolate company in San Francisco? 
944	factoid	What are amphibians? 
945	factoid	Who discovered x-rays? 
946	factoid	Which comedian's signature line is "Can we talk"? 
947	factoid	What is fibromyalgia? 
948	factoid	What is done with worn or outdated flags? 
949	factoid	What does cc in engines mean? 
950	factoid	When did Elvis Presley die? 
951	factoid	What is the capital of Yugoslavia? 
952	factoid	Where is Milan? 
953	factoid	What are the speed hummingbirds fly? 
954	factoid	What is the oldest city in the United States? 
955	factoid	What was W.C. Fields' real name? 
956	factoid	What river flows between Fargo, North Dakota and Moorhead, Minnesota? 
957	factoid	What do bats eat? 
958	factoid	What state did the Battle of Bighorn take place in? 
959	factoid	Who was Abraham Lincoln? 
960	factoid	What do you call a newborn kangaroo? 
961	factoid	What are spider veins? 
962	factoid	What day and month did John Lennon die? 
963	factoid	What strait separates North America from Asia? 
964	factoid	What is the population of Seattle? 
965	factoid	How much was a ticket for the Titanic? 
966	factoid	What is the largest city in the world? 
967	factoid	What American composer wrote the music for "West Side Story"? 
968	factoid	Where is the Mall of the America? 
969	factoid	What is the pH scale? 
970	factoid	What type of currency is used in Australia? 
971	factoid	How tall is the Gateway Arch in St. Louis, MO? 
972	factoid	How much does the human adult female brain weigh? 
973	factoid	Who was the first governor of Alaska? 
974	factoid	What is a prism? 
975	factoid	When was the first liver transplant? 
976	factoid	Who was elected president of South Africa in 1994? 
977	factoid	What is the population of China? 
978	factoid	When was Rosa Parks born? 
979	factoid	Why is a ladybug helpful? 
980	factoid	What is amoxicillin? 
981	factoid	Who was the first female United States Representative? 
982	factoid	What are xerophytes? 
983	factoid	What country did Ponce de Leon come from? 
984	factoid	The U.S. Department of Treasury first issued paper currency for the U.S. during which war?  
985	factoid	What is desktop publishing? 
986	factoid	What is the temperature of the sun's surface? 
987	factoid	What year did Canada join the United Nations? 
988	factoid	What is the oldest university in the US? 
989	factoid	Where is Prince Edward Island? 
990	factoid	Mercury, what year was it discovered? 
991	factoid	What is cryogenics? 
992	factoid	What are coral reefs? 
993	factoid	What is the longest major league baseball-winning streak? 
994	factoid	What is neurology? 
995	factoid	Who invented the calculator? 
996	factoid	How do you measure earthquakes?  
997	factoid	Who is Duke Ellington? 
998	factoid	What county is Phoenix, AZ in? 
999	factoid	What is a micron? 
1000	factoid	The sun's core, what is the temperature? 
1001	factoid	What is the Ohio state bird? 
1002	factoid	When were William Shakespeare's twins born? 
1003	factoid	What is the highest dam in the U.S.? 
1004	factoid	What color is a poison arrow frog? 
1005	factoid	What is acupuncture? 
1006	factoid	What is the length of the coastline of the state of Alaska? 
1007	factoid	What is the name of Neil Armstrong's wife? 
1008	factoid	What is Hawaii's state flower? 
1009	factoid	Who won Ms. American in 1989? 
1010	factoid	When did the Hindenberg crash? 
1011	factoid	What mineral helps prevent osteoporosis? 
1012	factoid	What was the last year that the Chicago Cubs won the World Series? 
1013	factoid	Where is Perth? 
1014	factoid	What year did WWII begin? 
1015	factoid	What is the diameter of a golf ball? 
1016	factoid	What is an eclipse? 
1017	factoid	Who discovered America? 
1018	factoid	What is the earth's diameter? 
1019	factoid	Which president was unmarried? 
