	
	
1894	(190|249|416|440)(\s|\-)million(\s|\-)miles?|416 - million - mile|700-million-kilometer
1895	midnight
1896	Quasimodo
1897	Dallas(\s\/\s|\-)Fort Worth International Airport
1898	Anaheim|Paris|To(ky|yk)o
1899	Silent Spring
1900	Egypt
1903	24
1904	10(\s|\-)inch(es)?
1906	crucified
1908	27(0|3|5),?000
1909	oil
1910	copper|steel
1911	periodic (table|chart)
1912	Paris
1914	Cleveland
1916	New York|Washington
1918	chok(e|ing)
1919	has a diameter of 4,217 miles
1920	1997
1921	stepping into an English river to her death|suicide
1922	\.03 seconds
1925	bat
1926	179(0s|2|3)
1927	inflammatory quinsy|severe infection of the throat|throat infection
1928	plane crash
1929	Bee Gees
1930	Grateful Dead|Jerry Garcia Acoustic Band|Wildwood Boys
1931	1948
1932	1985
1934	Romeo and Juliet
1935	Red
1936	1(0|1)0
1937	25 knots
1938	102
1939	ruptured abdominal.*?aneurysms?
1941	iris
1943	Ahua|Hsing-Hsing
1944	Mount Vernon
1945	1889
1946	Aug. 9.?
1947	Russian?
1948	nepotism
1949	Union Jacks?
1950	Verne
1952	no regulations
1953	31
1954	France
1956	Russia
1958	20 minutes?
1959	carbon copy
1960	145,000
1961	pitcher
1962	Japan
1965	Hangzhou MSD Pharmaceutical
1966	Boston
1967	ALP|Labor
1968	apricot
1969	American Civil Liberties Union
1970	Iberia
1971	Philadelphia
1973	center
1974	Cunningham
1975	asp bite|suicide
1976	Be Prepared
1978	870,105 miles across
1980	221,456( miles?)|221,662|222,000 miles|250 , 000 miles|252,711 miles
1981	1 , 250-mile-long|1\s?,?2\s?(00|50)\s?\-?\s?miles?|2,?000 km
1982	Driving Miss Daisy
1983	1963 ?- ?69
1984	Generation X
1985	Gund
1986	Oxford
1989	1994
1991	Sioux description of the Minnesota River
1992	6,000 degrees Centigrade|6500 Celsius|two million degrees centigrade
1993	four|three
1994	Love Me Do
1995	Mississippi Gaming Commission
1996	Durham
1997	Arnold
1998	53
1999	Wyoming
2000	687
2001	Led Zeppelin
2003	15-foot
2004	seven
2005	Millennium Force|Riddler's Revenge
2007	seven
2009	koala bears
2010	St\.? Helena
2011	1452
2012	heart attack
2013	13
2015	Universal Amphitheatre
2016	Ruhr
2017	28 percent
2018	687
2020	Paris
2021	Great Barrier Reef
2022	Greenwich
2023	Africa
2025	Astrodome
2026	776 BC
2027	1994
2028	anacondas|reticulated python
2029	11
2030	chat
2032	Tour de France
2033	four
2035	four
2036	58
2037	Siouan ``ouaouia
2038	dynamite
2039	Georgetown
2040	tadpoles
2044	Art\s+Museum|Museum of Art
2045	1718
2047	3(5.5|6) million miles
2048	1981
2049	Grover Cleveland
2050	cyanide
2052	Bexar
2053	Milli Vanilli
2055	PEACH MELBA
2056	Jane's Addiction
2057	seven
2058	all the news that's fit to print
2059	she.*?kag.*?ong
2061	Brown vs?. Board of Education
2062	six
2064	Nepal
2065	cows?
2066	agave
2067	five
2068	mosquitoes
2069	1977
2070	April 12.*?1861
2071	13,?000|17,(000|500|508)
2072	shooting
2073	186.*?000 miles per second?|about 6 trillion miles a year
2074	1(37|40).*?meters?|482 feet
2075	Kentwood
2076	Quaker Oats
