	
894	_?20[04] miles_?
895	Stanislaus
896	astronomer|the Italian sunspots expert
897	the smallest units of matter
898	1959
899	1,454.*foot|1,45[024] feet|1,462.*foot|1,950 feet\s*, 496 feet taller|1454.*foot|l,454 feet|l\,?454\s*\-?\s*f(oo|ee)t
900	Rangers?
902	Earth\s*'s atmosphere|eclipses?|shadow
903	affliction|brain defect|developmental disability|disabled|disorders?|extreme inattention|inability to communicate|learning disabilities|mysterious malady
904	Paris
905	Roosevelt
907	(Pangborn|Herndon)
908	1890
910	tungsten
911	Sabin|Salk
912	(neurological|brain|seizure|paroxysmal|underlying|mental|nervous system) disorders?|affliction|convulsions?|disorders?|nervous system|seizures?|speech loss
913	1912.*|78 years ago
914	Ed(ward)?.*White
915	Earth and its environment
916	Mississip(pi)?
917	manic\s*\-?\s*depressi(ve|on)|mood swings?
918	(fatty|waxy) substance|fat(ty|s)?|steroidlike compound
919	Hertzfeld|Jobs
920	alkaloid|chemical that gives coffee its jolt|diuretic|often maligned chemical|stimulant
921	equator
922	Santa Ana|_?Orange _?County_?
923	Eastern
925	Arizona|Calgary|Canadian|Colo(rado|\.)|Idaho|Utah|_?Montana_?|_?Wyoming_?
926	animals without backbones
927	9,000 degrees Fahrenheit
928	1960
929	42
930	Brazil|Colombia|South America|_?Venezuela_?n?
932	(20|25|30|50)
933	five
934	flax(?:seed)?
935	fluorine\s*\-?\s*based\scompound|fluorocarbons?|fluoropolymers|non\s*\-?\s*stick|polytetrafluoroethyl(?:ene?)?|the slickest solid on Earth
936	Elavil|a?ntidepress(?:ant?)?
937	(religious)|(spiritual) leader|a sort of traveling chaplain|medicine m[ae]n|observer of nature|priest(?:ess)?(?:e)?s?|tribal magician|warlock|witchdoctor
939	flock
940	_?20_?\s*\-?\s*years?'?_?
941	fat(?:ty)?s?
942	3 decimal 785 liters|3\.7?85?\sliters|four liters
943	Ghirardelli
944	cold\s*\-?\s*blooded\s*\,?\s*moist\s*\-?\s*skinned|live both on land and in water
945	Roe?ntgen_?
946	Rivers
947	form of arthritis
948	burn(?:ing)?s?(ed)?
949	cubic centimeters
950	1977
951	_?Belgrade_?
952	_?Italy_?
953	60\sm\.?p\.?h\.?
954	Boston|St\.\sAugustine
956	Red
957	blood|bug\-eating|cockchafers|fruit|insect(ivorou)?s?|m?osqui(toes)?|midges|nectar
958	Mont(\.|ana)?
959	Emancipator|lawyer|led nation during Civil War|presiden(t|tial|cy|ts)
960	joey
961	(thread)?\-?\s*like purple lines?|enlargement of the blood vessels|skin disorders?|threadlike,? purplish
962	8 December|_?Dec\s*\.\s*8_?
963	Bering
964	490,000|516,?\s*259|531,000
966	Mexico City|Tokyo
967	_?Bernstein_?
968	Bloomington|Minneapolis|Minnesota
969	acidi(c|ty)|alkalin(e|ity)|concentration.*ions?|hydrogen ions|ion.*concentration|measures acidity
970	\$|doll(a)?|dollars?
971	630\s*\-?\s?(foot)?
974	spectrum of colours by beaming
975	196[37]
976	Mandela
977	(one)|(1(\.0[7|8])?) billion|1,133,682,501|1[\.?(1|2)?]\s*billion|1\.[12].*b(illio)?n
979	(devour)|(reduce) aphids?|(feed)|(protect).*insects?|aphid-eating
980	antibiot(ics?)?
981	Jeanette Rankin
982	stor(e|ing) water
983	Spanish
984	1862|Civil War
985	computer application|computer.*publishing|computerizing the layout process of printing|printing high-quality documents|produce pages integrating text and graphics|produce superb documents|the ability to turn out professional-looking publications
986	(6\,?000|10,800) degrees
988	Harvard
989	Canada
991	freeze\-?\s?dried|freezing|materials at very|materials at very low temperatures|preserve.*bodies
992	major.*source.*food|shelter built up by millions
993	16 straight
994	study of the nervous( system)?
996	Richter|scale|seismographs?
997	Symphonic Works|band|bandleader|compose(r|d)?|jazz|musicians?|orchestra|sang
998	Maricopa
999	(one|1|a)?\s?\-?millionth.*met(er|re)|1/200th the thickness of a human hair|1/25,000 of an inch|40-millionth of an inch|a millionth of a millim|one-25,000th of an inch|one-thousandth of a millimeter|one-thousandth of one millimeter|one\s?-\s?hundredth the width of a human hair
1000	14 million degr(ees)?
1002	1585
1005	Kills Pain|Traditional Chinese Medicine|WAY TO EASE CRAVINGS|needles|technique|therapy|treat crack|treatments?
1006	35,000 miles|6,640 miles?
1008	H?ibiscus
1010	1937
1011	calcium
1012	1908|83 years
1013	_?Australia_?n?|_?Scotland_?
1014	1939
1016	astronomical coincidence|moon blocks sunlight
1017	Christopher Bonde|_?Columbus?_?
1018	7,900 miles
1020	588,000 trillion miles|_?100\,?000 light.*years_?
1021	summer
1022	All.*England Lawn Tennis.*Club|tennis
1024	1.852 km|12.*nautical.*mile.*22.*kilometer.*|4,250 km \(2,300 nautical miles|6\,?000 feet|75 statute miles
1025	Brown?_?
1026	pulse zone recommended|target heart rate
1027	Sputnik
1029	New Madrid
1030	Manhattan|New Jersey|New York
1031	_?John Newton_?
1032	center.*field(er)?
1033	blood cells?|clott?(ing?|s)?
1036	Alexandria|France|Laguna Niguel|Los Angeles|Ottawa|Washingt(on)?
1038	disea(se)?s?|infantile paralysis|infectio|inflammation|virus
1040	Bloch|Engels|Georg Wilhelm|Habermas|Hegel|Heideg(ger)?|Herder_?|Kant|Lichtenberg|Marx|Nietzsche|Schopenhauer|Ullmann|Weber
1041	Nina.*Pinta.*Santa Maria|Pinta.*Nina.*Santa Maria
1042	honor.*society
1043	addictive|alkaloids?|drugs?|mood-altering|pharmacolog(ic)? agent|poison(ing)?|stimulant|tobacco
1044	Thiamine
1045	Curie?s?_?
1046	cool spots?|cool.*dark|markings that show up
1047	1830|19th century
1049	African?
1050	Ulaanbaatar|_?Ulan Bator?_?
1051	buzzword.*chemistry|manipulate individual atoms|microstructure engineering|molecular manufacturing|science|technology of engineering
1052	Australian?
1053	Kansas
1055	long chains of.*molecules|plastics?|polypropylene/polyam blend
1056	Ju(ne|ly).*Nov(\.|ember)?
1057	Hawaii(an)?_?|Pacific
1058	auroras?
1059	Iberian?
1060	1908
1061	Anacin-3|Tylenol|analgesics?|cold remedies|pain relievers?|pain\-?killers?|relieves pain
1063	Barton_?
1064	1966
1065	one hour
1066	June.*|Midsommar|first day of summer|longest _?day|sun.*highest point
1067	calamitous death of a large star|collapse into dense neutron stars|death star|erupting stars|explod.*stars?|explodes|explosions?|gigantic cosmic explosion|last stages in the life cycle of a star|origin of gold|star.*explo(sions|ded?)
1068	_?(Il)?linois_?.*
1069	New Hampshire
1070	Paris
1071	1840|1847|mid-1800s
1072	yellow.*red
1073	2.7 billion|_?3\s*.\s*7_? billion_?
1074	Atlantic
1075	Genetic Defect|m?alfunction of the nerves|nerve damage|nerves are dying
1076	Ankara|Baghdad|Basra|Birecik|Iraqi?|Middle East|Nasiriyah|Syrian?|_?Mesopotamia_?|_?Turk(ey|ish)_?
1077	break ciphers|breaking codes|code breaker.*|cracked.*code|enciphered|encoding and decoding|keys to encoding|science of writing and deciph(ering codes)?|used to encode
1078	hydrocarbon compounds|methane
1079	Brian M|Campbell|Chr=E9tien(\r)?|Chretien|Mu(lrone(y)?)?_?|Trudeau
1080	Bonaparte|_?Napoleon_?
1081	abnormal white blood cells|cancer.*|disease that tends to relapse|white blood cells.*malignant
1082	Houston
1083	pearl
