1894	factoid	How far is it from Earth to Mars? 
1895	factoid	How late is Disneyland open? 
1896	factoid	What was the Hunchback of Notre Dame's real name? 
1897	factoid	What is the name of the airport in Dallas Ft. Worth? 
1898	factoid	What city is Disneyland in? 
1899	factoid	What book did Rachel Carson write in 1962? 
1900	factoid	What country is Aswan High Dam located in? 
1901	definition	Who is Aaron Copland? 
1902	list	Which past and present NFL players have the last name of Johnson? 
1903	factoid	How many time zones are there in the world? 
1904	factoid	How high is the pitcher's mound? 
1905	definition	What is a golden parachute? 
1906	factoid	How did the disciple Peter die? 
1907	definition	Who is Alberto Tomba? 
1908	factoid	What is the population of Iceland? 
1909	factoid	What business was the source of John D. Rockefeller's fortune? 
1910	factoid	What are pennies made of? 
1911	factoid	What is the name of the chart that tells you the symbol for all chemical elements? 
1912	factoid	In which city is the River Seine? 
1913	list	What breeds of dog have won the "Best in Show" award at the Westminster Dog Show? 
1914	factoid	What city is the home to the Rock and Roll Hall of Fame? 
1915	list	List the names of chewing gums. 
1916	factoid	What city did Duke Ellington live in? 
1917	definition	What is Bausch & Lomb? 
1918	factoid	How did Jimi Hendrix die? 
1919	factoid	How big is Mars? 
1920	factoid	When was "Cold Mountain" written? 
1921	factoid	How did Virginia Woolf die? 
1922	factoid	How fast is an eye blink? 
1923	list	What governments still officially recognize and support International Labor Day? 
1924	factoid	When was the first hair dryer made? 
1925	factoid	What did Ozzy Osbourne bite the head off of? 
1926	factoid	When was the U.S. capitol built? 
1927	factoid	How did George Washington die? 
1928	factoid	how did Patsy Cline die 
1929	factoid	What band did the music for the 1970's film "Saturday Night Fever"? 
1930	factoid	What band was Jerry Garcia with? 
1931	factoid	When was Prince Charles born? 
1932	factoid	When did International Volunteers Day begin? 
1933	definition	Who is Vlad the Impaler? 
1934	factoid	What is the play "West Side Story" based on? 
1935	factoid	What color is the top stripe on the U.S. flag? 
1936	factoid	How many stories are in the Sears Tower? 
1937	factoid	How fast can a nuclear submarine travel? 
1938	factoid	How many floors are in the Empire State Building? 
1939	factoid	How did Einstein die? 
1940	list	What grapes are used in making wine? 
1941	factoid	What membrane controls the amount of light entering the eye? 
1942	factoid	How many Olympic Games were canceled because of World War I? 
1943	factoid	What is the name of Ling Ling's mate? 
1944	factoid	What did George Washington call his house? 
1945	factoid	When was Adolf Hitler born? 
1946	factoid	What day and month did Nixon resign? 
1947	factoid	What country did Catherine the Great rule? 
1948	factoid	What is the word which means one hiring his relatives? 
1949	factoid	What is the nickname of the British flag? 
1950	factoid	Who created the literary character Phineas Fogg? 
1951	factoid	What beach was "I Dream of Jeannie" filmed on? 
1952	factoid	How late will airlines let you fly in pregnancy? 
1953	factoid	How many NFL teams are there? 
1954	factoid	What country made the Statue of Liberty? 
1955	definition	Who is Akbar the Great? 
1956	factoid	What country is the largest in square miles? 
1957	definition	What are fractals? 
1958	factoid	How fast can a king cobra kill you? 
1959	factoid	What does cc mean in letter writing? 
1960	factoid	How many gas stations are there in the United States? 
1961	factoid	What position did Satchel Paige play in professional baseball? 
1962	factoid	What country is know as the "Land of the Rising Sun"? 
1963	list	Who are professional female boxers? 
1964	definition	Who is Allen Iverson? 
1965	factoid	What company manufactures Sinemet? 
1966	factoid	What capital city do you see from the top of Bunker Hill? 
1967	factoid	What party led Australia from 1983 to 1996? 
1968	factoid	What fruit's stone does Laetrile come from? 
1969	factoid	What does ACLU stand for? 
1970	factoid	What is the national airline of Spain? 
1971	factoid	What city is the Liberty Bell currently located in? 
1972	definition	Who was Abraham in the Old Testament? 
1973	factoid	What player on a basketball team usually plays the post or pivot position? 
1974	factoid	What is Richie's surname on "Happy Days"? 
1975	factoid	How did Cleopatra die? 
1976	factoid	What is the motto for the Boy Scouts? 
1977	factoid	How large in square miles is North Carolina? 
1978	factoid	How big is the sun? 
1979	factoid	How many moons does Venus have? 
1980	factoid	How far is the moon from Earth in miles? 
1981	factoid	How long is the Great Barrier Reef? 
1982	factoid	What movie won the Academy Award for best picture in 1989? 
1983	factoid	When was Lyndon B. Johnson president? 
1984	factoid	What are people born 1965 through 1980 called? 
1985	factoid	What is the Cav's arena name? 
1986	factoid	What city is Ole Mississippi University in? 
1987	definition	What is ETA in Spain? 
1988	list	List the names of casinos owned by Native Americans. 
1989	factoid	When was chewing tobacco banned in baseball? 
1990	factoid	What comic book friend of Archie wears a crown-shaped hat? 
1991	factoid	How did Minnesota get its name? 
1992	factoid	How hot is the sun? 
1993	factoid	How many official languages does Switzerland have? 
1994	factoid	What was the Beatles' first number one hit? 
1995	factoid	What department is responsible for regulating casino gambling in Mississippi? 
1996	factoid	What city is Duke University in? 
1997	factoid	What American revolutionary general turned over West Point to the British? 
1998	factoid	How old was Babe Ruth when he died? 
1999	factoid	What is the state with the smallest population? 
2000	factoid	How many Earth days does it take for Mars to orbit the sun? 
2001	factoid	What rock band sang "A Whole Lotta Love"? 
2002	list	Name singers performing the role of Donna Elvira in performances of Mozart's "Don Giovanni". 
2003	factoid	How far is the distance for a free throw? 
2004	factoid	What do the opposite sides of a die add up to? 
2005	factoid	What is the fastest roller coaster? 
2006	definition	Who is Aga Khan? 
2007	factoid	How many years are there in a French president's term? 
2008	definition	What is the vagus nerve? 
2009	factoid	What animal has human-like fingerprints? 
2010	factoid	What island was Napoleon exiled to after his defeat at Waterloo? 
2011	factoid	When was Leonardo da Vinci born? 
2012	factoid	How did Marty Robbins die? 
2013	factoid	How many stripes are on the American flag? 
2014	list	List brands of pianos. 
2015	factoid	What building is the Academy of Country Music Awards held in? 
2016	factoid	What is the area of western Germany that is known for its rich coal deposits? 
2017	factoid	What percent of the nation's cheese does Wisconsin produce? 
2018	factoid	How many days are there in a Martian year? 
2019	factoid	What Boston Red Sox infielder was given his father's first name, with the letters reversed? 
2020	factoid	In which city would you find the Louvre? 
2021	factoid	What is the world's largest coral reef? 
2022	factoid	What English city does the prime meridian pass through? 
2023	factoid	What continent is the world's largest dessert on? 
2024	definition	Who is Andrea Bocceli? 
2025	factoid	What sports stadium has been billed as "the eighth wonder of the world"? 
2026	factoid	When was the first Olympics held? 
2027	factoid	When was OJ Simpson arrested for murder? 
2028	factoid	What are the biggest snakes in the world? 
2029	factoid	How many electoral votes does Tennessee have? 
2030	factoid	How do you say "cat" in the French language? 
2031	factoid	Who was the ancient Egyptian god that was the patron of music and pleasure? 
2032	factoid	What sporting event first took place in 1903? 
2033	factoid	How many types of human blood are there? 
2034	list	List female astronauts or cosmonauts. 
2035	factoid	How many stomachs does a cow have? 
2036	factoid	How many counties are in California? 
2037	factoid	How did Iowa get its name? 
